19	1	62	33	25	4.1024	1.41157216830416	5	5	.	.	.	.	.	.	.	.	.	.	.	.	7.87400787401181	5.74456264653803
19	4	62	33	25	4.1024	1.41157216830416	1	1	1	1	4	8	1	1	15	23	3	4	0	1	7.87400787401181	5.74456264653803
19	3	62	33	25	4.1024	1.41157216830416	1	1	1	2	5	5	1	1	23	14	10	7	0	1	7.87400787401181	5.74456264653803
20	2	55	41	29	4.7065	1.54894453200514	1	1	2	2	8	8	0	2	20	21	9	16	3	1	7.41619848709566	6.40312423743285
20	6	55	41	29	4.7065	1.54894453200514	1	1	1	2	8	8	0	0	21	16	6	18	3	0	7.41619848709566	6.40312423743285
20	5	55	41	29	4.7065	1.54894453200514	3	1	1	2	5	5	1	1	20	17	9	10	1	2	7.41619848709566	6.40312423743285
20	1	55	41	29	4.7065	1.54894453200514	3	5	2	.	4	.	2	.	17	.	14	.	5	.	7.41619848709566	6.40312423743285
20	4	55	41	29	4.7065	1.54894453200514	5	1	.	1	.	5	.	0	.	16	.	16	.	1	7.41619848709566	6.40312423743285
20	3	55	41	29	4.7065	1.54894453200514	1	3	1	2	4	4	2	1	16	21	16	9	2	3	7.41619848709566	6.40312423743285
21	2	32	34	26	3.8493	1.34789131358695	1	1	1	1	3	3	0	1	15	16	4	9	0	2	5.65685424949238	5.8309518948453
21	6	32	34	26	3.8493	1.34789131358695	1	5	1	.	2	.	1	.	13	.	8	.	3	.	5.65685424949238	5.8309518948453
21	5	32	34	26	3.8493	1.34789131358695	1	5	1	.	4	.	1	.	20	.	12	.	1	.	5.65685424949238	5.8309518948453
21	1	32	34	26	3.8493	1.34789131358695	5	5	.	.	.	.	.	.	.	.	.	.	.	.	5.65685424949238	5.8309518948453
21	4	32	34	26	3.8493	1.34789131358695	1	1	1	2	8	3	1	0	24	19	10	12	1	2	5.65685424949238	5.8309518948453
21	3	32	34	26	3.8493	1.34789131358695	1	5	1	.	4	.	2	.	23	.	9	.	1	.	5.65685424949238	5.8309518948453
22	2	46	21	17	3.8684	1.35284098486067	1	3	1	2	2	3	0	1	14	12	3	1	0	2	6.78232998312527	4.58257569495584
22	6	46	21	17	3.8684	1.35284098486067	5	3	.	1	.	5	.	.	.	16	.	0	.	0	6.78232998312527	4.58257569495584
22	5	46	21	17	3.8684	1.35284098486067	2	5	1	.	5	.	0	.	14	.	13	.	1	.	6.78232998312527	4.58257569495584
22	1	46	21	17	3.8684	1.35284098486067	5	3	.	2	.	3	.	0	.	11	.	4	.	2	6.78232998312527	4.58257569495584
